epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.194,0.92629,2.32702,1.51787,0.57081,0.65521,0.65712,0.43443,1.04844,2.57135,1.91271,0.000364636,0.000364636,0.000364636
2,21.3102,0.86247,1.27969,1.44627,0.65465,0.68328,0.76412,0.49511,1.09282,2.12022,2.11423,0.000710715,0.000710715,0.000710715
3,30.2708,0.87991,1.1777,1.45807,0.72053,0.61598,0.70716,0.45522,1.19535,1.6517,2.36561,0.00103235,0.00103235,0.00103235
4,39.2606,0.85039,1.09542,1.43968,0.39659,0.66452,0.51372,0.21195,1.37732,1.99537,2.27989,0.00100101,0.00100101,0.00100101
5,48.1945,0.85105,1.01534,1.41809,0.74428,0.87255,0.9052,0.64984,0.98487,1.07795,1.78331,0.000964348,0.000964348,0.000964348
6,57.2348,0.81255,0.95554,1.38966,0.7773,0.85941,0.93304,0.69785,0.97142,1.0211,1.83834,0.000927685,0.000927685,0.000927685
7,66.2666,0.73068,0.83622,1.33788,0.91334,0.88932,0.95744,0.73488,0.88785,0.89941,1.72183,0.000891022,0.000891022,0.000891022
8,75.3068,0.70879,0.83324,1.31559,0.85945,0.89275,0.92804,0.69956,0.90083,1.07663,1.68854,0.000854359,0.000854359,0.000854359
9,84.312,0.72234,0.8221,1.33198,0.89979,0.9043,0.93483,0.71378,0.84029,0.78691,1.60604,0.000817696,0.000817696,0.000817696
10,93.2551,0.68213,0.72766,1.29742,0.95735,0.9302,0.98219,0.84492,0.62391,0.55509,1.3315,0.000781033,0.000781033,0.000781033
11,102.18,0.65712,0.68794,1.28258,0.96371,0.95872,0.98372,0.82326,0.73349,0.57476,1.48291,0.00074437,0.00074437,0.00074437
12,111.037,0.65769,0.6864,1.27963,0.93143,0.94291,0.98707,0.87209,0.54594,0.54785,1.2463,0.000707707,0.000707707,0.000707707
13,119.995,0.64807,0.66553,1.26975,0.9475,0.96366,0.99055,0.85874,0.58843,0.4818,1.3078,0.000671044,0.000671044,0.000671044
14,128.904,0.63377,0.62777,1.26766,0.93469,0.97801,0.99146,0.88338,0.52105,0.46804,1.22416,0.000634381,0.000634381,0.000634381
15,137.839,0.62873,0.60926,1.25559,0.94908,0.96463,0.98781,0.87451,0.56032,0.45838,1.27598,0.000597718,0.000597718,0.000597718
16,146.777,0.61613,0.57312,1.24138,0.97277,0.95209,0.99045,0.89393,0.52443,0.42303,1.21551,0.000561055,0.000561055,0.000561055
17,155.785,0.58945,0.57679,1.2234,0.93657,0.88281,0.97441,0.88545,0.53601,0.55572,1.24692,0.000524392,0.000524392,0.000524392
18,164.749,0.57607,0.52947,1.21414,0.98229,0.97963,0.99181,0.91829,0.45999,0.37335,1.15065,0.000487729,0.000487729,0.000487729
19,173.657,0.56566,0.54404,1.20664,0.9635,0.99005,0.99206,0.91889,0.44688,0.36521,1.13161,0.000451066,0.000451066,0.000451066
20,182.663,0.57062,0.53138,1.2068,0.97349,0.97732,0.99256,0.91492,0.47184,0.36886,1.1546,0.000414403,0.000414403,0.000414403
21,212.499,0.33437,0.33413,1.10441,0.98563,0.97918,0.99152,0.92501,0.40421,0.33376,1.07819,0.00037774,0.00037774,0.00037774
22,221.449,0.3082,0.31953,1.09054,0.98195,0.98162,0.99303,0.93209,0.39943,0.31975,1.05667,0.000341077,0.000341077,0.000341077
23,230.468,0.29032,0.27662,1.07384,0.9861,0.97884,0.99295,0.94927,0.3584,0.30999,1.01412,0.000304414,0.000304414,0.000304414
24,239.493,0.26652,0.23819,1.05043,0.96373,0.97726,0.98742,0.93519,0.37458,0.3516,1.04035,0.000267751,0.000267751,0.000267751
25,248.462,0.2592,0.22172,1.03133,0.98891,0.98124,0.99289,0.95189,0.37286,0.28231,1.03043,0.000231088,0.000231088,0.000231088
26,257.405,0.23925,0.21333,1.01607,0.98171,0.98754,0.98861,0.95279,0.34927,0.29119,1.00295,0.000194425,0.000194425,0.000194425
27,266.39,0.24019,0.19625,1.01517,0.99037,0.98692,0.99386,0.95372,0.3582,0.28202,0.99785,0.000157762,0.000157762,0.000157762
28,275.469,0.22931,0.18862,1.00846,0.99559,0.99625,0.99359,0.95945,0.33857,0.24988,0.985,0.000121099,0.000121099,0.000121099
29,284.43,0.21601,0.17257,0.9987,0.9929,0.99574,0.99358,0.95967,0.3301,0.2395,0.97214,8.4436e-05,8.4436e-05,8.4436e-05
30,293.349,0.20727,0.17085,0.9967,0.99507,0.99626,0.99376,0.96307,0.31372,0.22547,0.96099,4.7773e-05,4.7773e-05,4.7773e-05
