epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.042,0.99434,2.86971,1.56987,0.2452,0.5338,0.28965,0.1917,1.24095,6.33191,2.23801,0.00017776,0.00017776,0.00017776
2,651.654,0.71044,1.43577,1.35243,0.7429,0.64796,0.78232,0.63004,0.82188,4.77656,1.63003,0.000354531,0.000354531,0.000354531
3,956.16,0.74069,1.07057,1.35676,0.73294,0.63494,0.80145,0.599,1.00087,2.17222,2.1096,0.000518837,0.000518837,0.000518837
4,1260.47,0.79782,0.96718,1.40207,0.44855,0.58063,0.48266,0.32141,1.17572,12.6238,2.42519,0.000670677,0.000670677,0.000670677
5,1562.8,0.80217,0.97493,1.39175,0.52639,0.67272,0.63807,0.34841,1.82445,4.22642,4.01276,0.000810052,0.000810052,0.000810052
6,1865.31,0.81374,1.00084,1.40807,0.29136,0.39785,0.24143,0.12748,1.82615,5.08095,3.03752,0.000927685,0.000927685,0.000927685
7,2167.74,0.79578,0.98155,1.39343,0.60165,0.66146,0.69988,0.49457,1.22967,2.89264,2.58708,0.000891022,0.000891022,0.000891022
8,2470.13,0.77786,0.90066,1.36262,0.54243,0.56559,0.50755,0.31489,1.34451,2.11572,2.75701,0.000854359,0.000854359,0.000854359
9,2772.61,0.74682,0.80847,1.34131,0.66367,0.67928,0.66336,0.40901,1.51603,3.13833,2.90988,0.000817696,0.000817696,0.000817696
10,3075.19,0.71146,0.75243,1.32207,0.596,0.59478,0.5424,0.37028,1.31859,2.13319,2.37774,0.000781033,0.000781033,0.000781033
11,3388.45,0.69458,0.71365,1.30117,0.86905,0.90472,0.93322,0.69338,1.06563,0.93069,2.1338,0.00074437,0.00074437,0.00074437
12,3725.07,0.69267,0.69273,1.30162,0.8844,0.91243,0.95892,0.73943,0.95754,0.85849,1.83373,0.000707707,0.000707707,0.000707707
13,4056.76,0.69087,0.68846,1.29919,0.95411,0.94042,0.97978,0.72767,0.94378,0.75008,1.77181,0.000671044,0.000671044,0.000671044
14,4387.79,0.64206,0.62163,1.25848,0.80185,0.79834,0.88077,0.71479,0.82185,1.34704,1.63426,0.000634381,0.000634381,0.000634381
15,4718.51,0.61491,0.59751,1.24188,0.79325,0.85399,0.88575,0.71444,0.84691,1.10195,1.56004,0.000597718,0.000597718,0.000597718
16,5048.08,0.63017,0.65565,1.26764,0.8455,0.86663,0.94135,0.8,0.7484,0.78389,1.58019,0.000561055,0.000561055,0.000561055
17,5371.46,0.58393,0.57659,1.21751,0.90559,0.90573,0.9673,0.84328,0.6424,0.6134,1.33593,0.000524392,0.000524392,0.000524392
18,5698.91,0.60523,0.58226,1.21898,0.94832,0.91958,0.9686,0.84589,0.58866,0.55408,1.31955,0.000487729,0.000487729,0.000487729
19,6024.86,0.54641,0.5557,1.1995,0.95096,0.91713,0.98969,0.86495,0.65517,0.56138,1.39213,0.000451066,0.000451066,0.000451066
20,6349.07,0.54648,0.51208,1.18478,0.86643,0.90678,0.92661,0.83281,0.53382,0.76191,1.2403,0.000414403,0.000414403,0.000414403
21,6666.83,0.34835,0.39407,1.1302,0.97799,0.9681,0.99169,0.90878,0.51748,0.42631,1.24624,0.00037774,0.00037774,0.00037774
22,6988.59,0.28829,0.39315,1.06972,0.99165,0.96909,0.99121,0.89429,0.56692,0.41302,1.25812,0.000341077,0.000341077,0.000341077
23,7310.31,0.27513,0.24653,1.05506,0.97456,0.98386,0.99209,0.93209,0.42361,0.33691,1.08325,0.000304414,0.000304414,0.000304414
24,7633.52,0.26491,0.2238,1.04182,0.96913,0.97356,0.99176,0.93307,0.42782,0.35672,1.099,0.000267751,0.000267751,0.000267751
25,7954.98,0.30355,0.30743,1.0782,0.98812,0.99098,0.99309,0.94494,0.3952,0.29692,1.06532,0.000231088,0.000231088,0.000231088
26,8271.19,0.24997,0.20148,1.0302,0.98672,0.99031,0.99345,0.95356,0.35902,0.27754,1.01305,0.000194425,0.000194425,0.000194425
27,8588.98,0.24244,0.20417,1.02434,0.99125,0.98641,0.99325,0.95534,0.34299,0.26447,0.99741,0.000157762,0.000157762,0.000157762
28,8910.28,0.21742,0.2459,0.99662,0.98344,0.98778,0.99226,0.9577,0.33786,0.26891,0.98493,0.000121099,0.000121099,0.000121099
29,9228.3,0.20663,0.16307,0.98899,0.98144,0.98642,0.9928,0.95641,0.33851,0.25882,0.99145,8.4436e-05,8.4436e-05,8.4436e-05
30,9563.82,0.21564,0.17272,0.98972,0.98993,0.98699,0.99345,0.95953,0.32295,0.24147,0.97529,4.7773e-05,4.7773e-05,4.7773e-05
